track.name,name,song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Midnight,George Baker Selection,1DQW5Clt0OUvFrhwr8rzXU,0.486,0.498,7,-10.101,1,0.0352,0.144,0.0,0.0782,0.889,75.663,audio_features,1DQW5Clt0OUvFrhwr8rzXU,spotify:track:1DQW5Clt0OUvFrhwr8rzXU,https://api.spotify.com/v1/tracks/1DQW5Clt0OUvFrhwr8rzXU,https://api.spotify.com/v1/audio-analysis/1DQW5Clt0OUvFrhwr8rzXU,171227,4
Long Tall Sally,Little Richard,42571C3CWIgIkom73ejPLq,0.424,0.658,5,-6.706,1,0.108,0.748,0.0,0.148,0.853,184.346,audio_features,42571C3CWIgIkom73ejPLq,spotify:track:42571C3CWIgIkom73ejPLq,https://api.spotify.com/v1/tracks/42571C3CWIgIkom73ejPLq,https://api.spotify.com/v1/audio-analysis/42571C3CWIgIkom73ejPLq,130293,4
Mr. Big Stuff,Jean Knight,2Bls0igCm79XQQ95IoUbhq,0.886,0.491,8,-12.589,1,0.171,0.29,2.46e-06,0.229,0.971,93.236,audio_features,2Bls0igCm79XQQ95IoUbhq,spotify:track:2Bls0igCm79XQQ95IoUbhq,https://api.spotify.com/v1/tracks/2Bls0igCm79XQQ95IoUbhq,https://api.spotify.com/v1/audio-analysis/2Bls0igCm79XQQ95IoUbhq,164560,4
Long Tall Sally - Remastered 2009,The Beatles,7ds98B8y5BQltzC60Gdkri,0.383,0.77,0,-7.096,1,0.0487,0.209,0.00432,0.13,0.917,172.467,audio_features,7ds98B8y5BQltzC60Gdkri,spotify:track:7ds98B8y5BQltzC60Gdkri,https://api.spotify.com/v1/tracks/7ds98B8y5BQltzC60Gdkri,https://api.spotify.com/v1/audio-analysis/7ds98B8y5BQltzC60Gdkri,122867,4
Poor Little Fool - Remastered,Ricky Nelson,5ayybTSXNwcarDtxQKqvWX,0.474,0.338,0,-11.528,1,0.0299,0.648,0.0,0.13,0.81,154.596,audio_features,5ayybTSXNwcarDtxQKqvWX,spotify:track:5ayybTSXNwcarDtxQKqvWX,https://api.spotify.com/v1/tracks/5ayybTSXNwcarDtxQKqvWX,https://api.spotify.com/v1/audio-analysis/5ayybTSXNwcarDtxQKqvWX,153933,4
Best Thing That Ever Happened to Me,Gladys Knight & The Pips,3j3755RU3R30QAD83LbW26,0.51,0.556,1,-10.069,0,0.0482,0.501,0.000786,0.129,0.501,94.614,audio_features,3j3755RU3R30QAD83LbW26,spotify:track:3j3755RU3R30QAD83LbW26,https://api.spotify.com/v1/tracks/3j3755RU3R30QAD83LbW26,https://api.spotify.com/v1/audio-analysis/3j3755RU3R30QAD83LbW26,224333,4
Patricia,Pérez Prado,1BbZJplex0pifLjhuhoaK5,0.692,0.482,1,-13.401,1,0.0473,0.12,0.482,0.0651,0.825,137.303,audio_features,1BbZJplex0pifLjhuhoaK5,spotify:track:1BbZJplex0pifLjhuhoaK5,https://api.spotify.com/v1/tracks/1BbZJplex0pifLjhuhoaK5,https://api.spotify.com/v1/audio-analysis/1BbZJplex0pifLjhuhoaK5,139840,4
Devoted to You,The Everly Brothers,4FrMb1ckGBrhARbHySQKx5,0.587,0.34,3,-9.387,1,0.0256,0.834,0.0,0.0955,0.526,90.523,audio_features,4FrMb1ckGBrhARbHySQKx5,spotify:track:4FrMb1ckGBrhARbHySQKx5,https://api.spotify.com/v1/tracks/4FrMb1ckGBrhARbHySQKx5,https://api.spotify.com/v1/audio-analysis/4FrMb1ckGBrhARbHySQKx5,141040,4
I Got The Feelin' - Single Version,James Brown,6HwyeFtiIwdETW1ssGyBzH,0.887,0.735,5,-6.328,1,0.0666,0.266,0.105,0.145,0.859,128.093,audio_features,6HwyeFtiIwdETW1ssGyBzH,spotify:track:6HwyeFtiIwdETW1ssGyBzH,https://api.spotify.com/v1/tracks/6HwyeFtiIwdETW1ssGyBzH,https://api.spotify.com/v1/audio-analysis/6HwyeFtiIwdETW1ssGyBzH,156573,4
Everything Your Heart Desires,Daryl Hall & John Oates,4AiVt49hSjkkArFOIlAZhL,0.706,0.861,10,-5.774,1,0.0411,0.157,1.29e-06,0.256,0.887,99.992,audio_features,4AiVt49hSjkkArFOIlAZhL,spotify:track:4AiVt49hSjkkArFOIlAZhL,https://api.spotify.com/v1/tracks/4AiVt49hSjkkArFOIlAZhL,https://api.spotify.com/v1/audio-analysis/4AiVt49hSjkkArFOIlAZhL,300467,4
Bits and Pieces - 2019 - Remaster,The Dave Clark Five,3bMt6mpqpDiCRQ3poewMAo,0.485,0.835,5,-8.871,0,0.101,0.0225,0.000114,0.0766,0.974,143.853,audio_features,3bMt6mpqpDiCRQ3poewMAo,spotify:track:3bMt6mpqpDiCRQ3poewMAo,https://api.spotify.com/v1/tracks/3bMt6mpqpDiCRQ3poewMAo,https://api.spotify.com/v1/audio-analysis/3bMt6mpqpDiCRQ3poewMAo,118907,4
Let Me Be The One,Exposé,3t14IyH0Pwz1E7oMJZD1u5,0.659,0.754,1,-9.082,0,0.0396,0.028,0.00898,0.289,0.887,105.409,audio_features,3t14IyH0Pwz1E7oMJZD1u5,spotify:track:3t14IyH0Pwz1E7oMJZD1u5,https://api.spotify.com/v1/tracks/3t14IyH0Pwz1E7oMJZD1u5,https://api.spotify.com/v1/audio-analysis/3t14IyH0Pwz1E7oMJZD1u5,261227,4
Sailing To Philadelphia,Mark Knopfler,5ti5SeraA9Ci7OtbLhEkz2,0.594,0.468,6,-10.117,0,0.0246,0.606,0.0872,0.0913,0.174,99.067,audio_features,5ti5SeraA9Ci7OtbLhEkz2,spotify:track:5ti5SeraA9Ci7OtbLhEkz2,https://api.spotify.com/v1/tracks/5ti5SeraA9Ci7OtbLhEkz2,https://api.spotify.com/v1/audio-analysis/5ti5SeraA9Ci7OtbLhEkz2,353120,4
Wisemen,James Blunt,3fl78noR9kt12JYKuTAP4a,0.633,0.701,10,-5.969,1,0.0267,0.253,4.79e-05,0.165,0.634,151.892,audio_features,3fl78noR9kt12JYKuTAP4a,spotify:track:3fl78noR9kt12JYKuTAP4a,https://api.spotify.com/v1/tracks/3fl78noR9kt12JYKuTAP4a,https://api.spotify.com/v1/audio-analysis/3fl78noR9kt12JYKuTAP4a,221773,4
Swearin' to God - Single Version,Frankie Valli,6lU9fLdtauyk0bE2HRHyve,0.667,0.785,1,-7.364,1,0.0635,0.288,0.000122,0.0597,0.73,108.921,audio_features,6lU9fLdtauyk0bE2HRHyve,spotify:track:6lU9fLdtauyk0bE2HRHyve,https://api.spotify.com/v1/tracks/6lU9fLdtauyk0bE2HRHyve,https://api.spotify.com/v1/audio-analysis/6lU9fLdtauyk0bE2HRHyve,245333,4
Torn,Natalie Imbruglia,0KDaN0HL3TcJVTbXlQCEsS,0.575,0.886,5,-5.182,1,0.034,0.0647,0.000187,0.709,0.609,96.31,audio_features,0KDaN0HL3TcJVTbXlQCEsS,spotify:track:0KDaN0HL3TcJVTbXlQCEsS,https://api.spotify.com/v1/tracks/0KDaN0HL3TcJVTbXlQCEsS,https://api.spotify.com/v1/audio-analysis/0KDaN0HL3TcJVTbXlQCEsS,244667,4
